,Symbol,Volume
0,AACG,17800
1,AACQU,149600
2,AAL,61700700
3,AAME,1900
4,AAOI,4356600
5,AAON,219000
6,AAPL,49511400
7,AAWW,1296800
8,AAXJ,1107500
9,AAXN,2278700
10,ABCB,312200
11,ABEO,573400
12,ABIO,1250200
13,ABMD,445400
14,ABTX,47300
15,ABUS,11335100
16,ACAD,1338800
17,ACAM,59900
18,ACAMW,14800
19,ACBI,51800
20,ACCD,279700
21,ACER,3033800
22,ACEVU,709200
23,ACGL,1415500
24,ACGLO,7500
25,ACGLP,34700
26,ACHC,325000
27,ACHV,910200
28,ACIA,803900
29,ACIU,355600
30,ACIW,1107600
31,ACLS,465700
32,ACMR,615800
33,ACNB,18800
34,ACOR,1900600
35,ACRS,469100
36,ACRX,1727500
37,ACST,2318900
38,ACT,1500
39,ACTG,426300
40,ACWI,4791000
41,ACWX,650400
42,ADAP,875500
43,ADBE,3289600
44,ADES,150400
45,ADI,2110800
46,ADIL,3536100
47,ADILW,39500
48,ADMA,4243800
49,ADMP,5392200
50,ADMS,5946300
51,ADP,3090800
52,ADPT,573100
53,ADRE,6800
54,ADRO,446100
55,ADSK,1042900
56,ADTN,325700
57,ADTX,2637600
58,ADUS,52900
59,ADVM,601100
60,ADXN,16800
61,ADXS,1109600
62,AEGN,73500
63,AEHR,83200
64,AEIS,403700
65,AEMD,472000
66,AERI,2420100
67,AESE,291100
68,AEY,149600
69,AEYE,67900
70,AEZS,10145900
71,AFH,284100
72,AFIB,648200
73,AFIN,289000
74,AFINP,13400
75,AFMD,640200
76,AFYA,45300
77,AGBAR,32500
78,AGBAW,269200
79,AGEN,3341100
80,AGFS,117800
81,AGIO,551700
82,AGLE,156400
83,AGMH,4400
84,AGNC,5031600
85,AGNCM,19800
86,AGNCN,16000
87,AGNCO,46000
88,AGNCP,30600
89,AGRX,1140900
90,AGTC,301100
91,AGYS,218200
92,AGZD,19900
93,AHCO,388100
94,AHPI,200700
95,AIA,121100
96,AIH,40900
97,AIHS,2161800
98,AIKI,1531400
99,AIMC,176300
100,AIMT,583500
101,AINV,1283100
102,AIQ,31900
103,AIRG,225000
104,AIRR,3100
105,AIRTW,21900
106,AKAM,1697700
107,AKBA,920900
108,AKCA,109400
109,AKER,1391600
110,AKRO,177000
111,AKTS,323600
112,AKTX,318400
113,AKUS,104300
114,ALACR,3600
115,ALACW,326300
116,ALBO,189700
117,ALCO,14000
118,ALDX,566600
119,ALEC,1186100
120,ALGN,818500
121,ALGT,140000
122,ALIM,84500
123,ALJJ,490600
124,ALKS,740200
125,ALLK,134000
126,ALLO,841100
127,ALLT,180300
128,ALNA,862600
129,ALNY,400500
130,ALOT,13100
131,ALPN,41700
132,ALRM,583400
133,ALRN,786000
134,ALRS,72300
135,ALSK,252700
136,ALT,1029700
137,ALTA,57500
138,ALTM,32400
139,ALTR,490700
140,ALTY,13800
141,ALVR,549500
142,ALXN,1846400
143,ALXO,67900
144,ALYA,13400
145,AMAG,466600
146,AMAL,28600
147,AMAT,7124200
148,AMBA,256900
149,AMCI,14600
150,AMCIW,842300
151,AMCX,935700
152,AMD,66543100
153,AMED,162800
154,AMEH,72100
155,AMGN,1352300
156,AMKR,1205900
157,AMNB,18500
158,AMOT,26600
159,AMPH,258000
160,AMRB,12500
161,AMRH,186500
162,AMRHW,5800
163,AMRK,43900
164,AMRN,7416100
165,AMRS,4163200
166,AMSC,469500
167,AMSF,131300
168,AMSWA,134600
169,AMTB,26500
170,AMTBB,300
171,AMTD,2633800
172,AMTI,179200
173,AMTX,1568600
174,AMWD,56000
175,AMYT,6900
176,AMZN,3936100
177,ANAB,212700
178,ANAT,23100
179,ANCN,50500
180,ANDA,36500
181,ANDAR,263300
182,ANDAW,78500
183,ANDE,229000
184,ANGI,1433800
185,ANGL,1101400
186,ANGO,235800
187,ANIK,117000
188,ANIP,73400
189,ANIX,61600
190,ANNX,398100
191,ANPC,15553600
192,ANSS,326000
193,ANTE,124600
194,ANY,126800
195,AOSL,78600
196,APA,6973200
197,APDN,646100
198,APEI,65900
199,APEN,22800
200,APEX,173200
201,APHA,8439600
202,API,1013500
203,APLS,433900
204,APLT,252100
205,APM,69700
206,APOG,143600
207,APOP,82700
208,APOPW,1300
209,APPF,108100
210,APPN,1915000
211,APPS,10798800
212,APRE,42100
213,APTO,1268600
214,APTX,172600
215,APVO,72500
216,APWC,39700
217,APXT,10200
218,APXTW,15500
219,APYX,46800
220,AQB,3496000
221,AQMS,290800
222,AQST,744500
223,ARAV,470300
224,ARAY,353100
225,ARCB,147300
226,ARCC,2577600
227,ARCE,449600
228,ARCT,1077000
229,ARDS,17100
230,ARDX,321200
231,AREC,21000
232,ARGX,127100
233,ARKR,17000
234,ARLP,253800
235,ARNA,428900
236,AROW,29000
237,ARPO,7671000
238,ARQT,119900
239,ARTL,1185300
240,ARTNA,43000
241,ARTW,17100
242,ARVN,272600
243,ARWR,921800
244,ARYA,730200
245,ARYB,900
246,ARYBU,34400
247,ASET,6300
248,ASFI,1000
249,ASLN,48000
250,ASMB,230000
251,ASML,572500
252,ASND,94200
253,ASPS,243000
254,ASPU,262600
255,ASRT,3874000
256,ASRV,1900
257,ASRVP,300
258,ASTC,331500
259,ASTE,134700
260,ASUR,154100
261,ASYS,21700
262,ATAX,156700
263,ATCX,5800
264,ATCXW,14600
265,ATEC,1333600
266,ATEX,109200
267,ATHE,2961300
268,ATHX,1737000
269,ATIF,153900
270,ATLC,6900
271,ATLO,6000
272,ATNI,23800
273,ATNX,699400
274,ATOM,1045400
275,ATOS,321500
276,ATRA,492700
277,ATRC,285000
278,ATRI,5000
279,ATRO,304700
280,ATRS,1845900
281,ATSG,531200
282,ATVI,9181800
283,ATXI,28100
284,AUB,317700
285,AUBAP,62600
286,AUBN,1200
287,AUDC,373800
288,AUPH,1112900
289,AUTL,342500
290,AUTO,107800
291,AVAV,159700
292,AVCO,196900
293,AVCT,2071700
294,AVCTW,511100
295,AVDL,407700
296,AVEO,199800
297,AVGO,1419300
298,AVGOP,2000
299,AVGR,13600200
300,AVID,347900
301,AVNW,6500
302,AVRO,128600
303,AVT,1059100
304,AVXL,1067100
305,AWH,444200
306,AWRE,13100
307,AXAS,2197100
308,AXDX,410800
309,AXGN,291300
310,AXGT,195900
311,AXLA,131600
312,AXNX,721600
313,AXSM,395600
314,AXTI,246400
315,AY,624600
316,AYLA,6200
317,AYRO,1856100
318,AYTU,3064700
319,AZPN,288300
320,AZRX,386100
321,BAND,338100
322,BANF,114100
323,BANR,139700
324,BANX,29700
325,BASI,25300
326,BATRA,38000
327,BATRK,110000
328,BBBY,9579400
329,BBCP,63300
330,BBGI,98200
331,BBH,27400
332,BBI,853400
333,BBIO,228000
334,BBQ,9900
335,BBSI,78700
336,BCBP,28200
337,BCDA,161300
338,BCDAW,300
339,BCEL,204600
340,BCLI,476200
341,BCML,10800
342,BCOM,900
343,BCOR,399800
344,BCOV,344200
345,BCOW,600
346,BCPC,90100
347,BCRX,6472400
348,BCTF,2500
349,BCYC,8100
350,BDGE,171200
351,BDSI,867400
352,BDTX,114200
353,BEAM,799200
354,BEAT,281800
355,BECN,1148100
356,BELFA,1900
357,BELFB,29500
358,BFC,6900
359,BFIN,26700
360,BFIT,700
361,BFRA,126400
362,BFST,66900
363,BFYT,157200
364,BGCP,5002300
365,BGFV,9075800
366,BGNE,203600
367,BGRN,9200
368,BHAT,401900
369,BHF,1845900
370,BHFAL,9000
371,BHFAO,35000
372,BHFAP,24800
373,BHTG,277700
374,BIB,104000
375,BICK,5500
376,BIDU,3163300
377,BIGC,3357400
378,BIIB,4454600
379,BILI,7229900
380,BIMI,217700
381,BIOC,27276700
382,BIOL,4075100
383,BIS,225300
384,BJK,11100
385,BJRI,311000
386,BKCC,386100
387,BKEP,66900
388,BKEPP,1400
389,BKNG,566000
390,BKSC,6000
391,BKYI,6541800
392,BL,1565200
393,BLBD,132000
394,BLCM,52100
395,BLCN,67200
396,BLCT,210500
397,BLDP,5741600
398,BLDR,918800
399,BLFS,298900
400,BLI,258000
401,BLIN,737500
402,BLKB,298000
403,BLMN,2284300
404,BLNK,2666200
405,BLNKW,38700
406,BLPH,97800
407,BLRX,580100
408,BLU,1738800
409,BLUE,533900
410,BMCH,347500
411,BMLP,22800
412,BMRA,257300
413,BMRC,36100
414,BMRN,754300
415,BMTC,79200
416,BND,3764500
417,BNDW,25900
418,BNDX,1564400
419,BNFT,361200
420,BNGO,73658400
421,BNGOW,128000
422,BNR,69700
423,BNSO,19900
424,BNTC,8300
425,BNTX,3038200
426,BOCH,17900
427,BOKF,167400
428,BOKFL,1800
429,BOMN,62500
