Symbol,Date,Open,High,Low,Close,Volume
AACG,7-Aug-20,1.27,1.28,1.2,1.2612,17800
AACQU,7-Aug-20,10.1,10.17,10.05,10.13,149600
AAL,7-Aug-20,12.86,13.16,12.58,13.03,61700700
AAME,7-Aug-20,1.88,1.94,1.8203,1.85,1900
AAOI,7-Aug-20,17.31,17.57,15.63,15.8,4356600
AAON,7-Aug-20,57.05,59.06,56.36,58.59,219000
AAPL,7-Aug-20,452.82,454.7,441.17,444.45,49511400
AAWW,7-Aug-20,56.21,59.45,55.74,59.07,1296800
AAXJ,7-Aug-20,76.24,76.49,75.62,76.01,1107500
AAXN,7-Aug-20,85.5,88,82.5,83.88,2278700
ABCB,7-Aug-20,24.1,25.84,23.92,25.82,312200
ABEO,7-Aug-20,2.84,2.93,2.8,2.86,573400
ABIO,7-Aug-20,6.9,6.94,6.8,6.88,1250200
ABMD,7-Aug-20,310.48,316.88,307.44,310.82,445400
ABTX,7-Aug-20,24.46,26.34,24.46,26.33,47300
ABUS,7-Aug-20,3.91,4.04,3.43,3.8,11335100
ACAD,7-Aug-20,43.99,44.15,42.68,42.73,1338800
ACAM,7-Aug-20,10.2,10.25,10.19,10.22,59900
ACAMW,7-Aug-20,1.04,1.05,0.995,0.995,14800
ACBI,7-Aug-20,10.48,11.1,10.48,11.06,51800
ACCD,7-Aug-20,41.4,41.8,36.905,37,279700
ACER,7-Aug-20,4.47,5.84,4.34,5.41,3033800
ACEVU,7-Aug-20,10.05,10.05,10,10,709200
ACGL,7-Aug-20,31.18,32.54,30.96,32.49,1415500
ACGLO,7-Aug-20,26.25,26.3,26.0917,26.3,7500
ACGLP,7-Aug-20,25.33,25.5,25.3293,25.5,34700
ACHC,7-Aug-20,30.74,31.11,30.51,31.05,325000
ACHV,7-Aug-20,10.9246,11.7353,10.51,10.99,910200
ACIA,7-Aug-20,68.25,68.4,68.09,68.3,803900
ACIU,7-Aug-20,6.6,6.84,6.55,6.72,355600
ACIW,7-Aug-20,31.27,31.97,30,30.5,1107600
ACLS,7-Aug-20,25.72,26.53,25.6,26.03,465700
ACMR,7-Aug-20,109.99,110.56,99.7901,101.92,615800
ACNB,7-Aug-20,20.8239,22.45,20.8239,22.2,18800
ACOR,7-Aug-20,0.7583,0.7599,0.708,0.7406,1900600
ACRS,7-Aug-20,1.9,2.14,1.82,2.1,469100
ACRX,7-Aug-20,1.2,1.32,1.18,1.32,1727500
ACST,7-Aug-20,0.7971,0.815,0.7801,0.795,2318900
ACT,7-Aug-20,24.68,25,24.68,24.95,1500
ACTG,7-Aug-20,4.06,4.2,4.04,4.14,426300
ACWI,7-Aug-20,79.19,79.455,78.87,79.36,4791000
ACWX,7-Aug-20,45.78,45.95,45.68,45.95,650400
ADAP,7-Aug-20,8.06,8.18,7.87,7.98,875500
ADBE,7-Aug-20,460.87,461.79,445.09,449.57,3289600
ADES,7-Aug-20,4.12,4.21,4.07,4.2,150400
ADI,7-Aug-20,116.87,117.3,115.52,116.32,2110800
ADIL,7-Aug-20,1.82,2.02,1.66,1.86,3536100
ADILW,7-Aug-20,0.32,0.405,0.305,0.305,39500
ADMA,7-Aug-20,2.91,2.98,2.85,2.9,4243800
ADMP,7-Aug-20,1.21,1.28,1.15,1.18,5392200
ADMS,7-Aug-20,3.2,4.14,3.19,3.78,5946300
ADP,7-Aug-20,136.98,138.98,136.63,137.99,3090800
ADPT,7-Aug-20,39.87,40.15,37.77,38.22,573100
ADRE,7-Aug-20,46.04,46.04,45.15,45.48,6800
ADRO,7-Aug-20,2.56,2.62,2.48,2.555,446100
ADSK,7-Aug-20,242.47,242.47,233.2,236.24,1042900
ADTN,7-Aug-20,12.2,12.75,12.17,12.4,325700
ADTX,7-Aug-20,6.68,6.71,5.52,5.85,2637600
ADUS,7-Aug-20,97.13,99.57,97.13,99.3,52900
ADVM,7-Aug-20,17.77,19.25,17.77,18.46,601100
ADXN,7-Aug-20,13.67,37.52,13.67,21,16800
ADXS,7-Aug-20,0.565,0.57,0.5341,0.55,1109600
AEGN,7-Aug-20,16.73,17.36,16.73,17.34,73500
AEHR,7-Aug-20,2.24,2.255,2.12,2.12,83200
AEIS,7-Aug-20,76.6,78.73,75.87,78.64,403700
AEMD,7-Aug-20,2.03,2.03,1.805,1.93,472000
AERI,7-Aug-20,12.49,13.08,12,12.61,2420100
AESE,7-Aug-20,2.16,2.1601,2.05,2.11,291100
AEY,7-Aug-20,2.32,2.3871,2.23,2.37,149600
AEYE,7-Aug-20,12.88,13.95,12.24,13.46,67900
AEZS,7-Aug-20,0.449,0.5053,0.449,0.496,10145900
AFH,7-Aug-20,0.53,0.55,0.52,0.54,284100
AFIB,7-Aug-20,25.52,28.93,24.7769,26.79,648200
AFIN,7-Aug-20,7.42,7.65,7.21,7.64,289000
AFINP,7-Aug-20,22.87,23.31,22.87,23.27,13400
AFMD,7-Aug-20,3.78,3.94,3.74,3.81,640200
AFYA,7-Aug-20,26.66,26.93,26.2919,26.74,45300
AGBAR,7-Aug-20,0.3,0.325,0.2101,0.2101,32500
AGBAW,7-Aug-20,0.3,0.3,0.13,0.23,269200
AGEN,7-Aug-20,3.34,3.83,3.34,3.75,3341100
AGFS,7-Aug-20,2.47,2.73,2.43,2.66,117800
AGIO,7-Aug-20,43.67,43.855,42.41,43.24,551700
